country,year,month,week,date,population,weekly_count,weekly_count_prop,cumulative_count,cumulative_count_prop
Albania,2020,18323,9,2020-03-02,2845955,2,0.07027518003622686,2,0.07027518003622686
Albania,2020,18330,10,2020-03-09,2845955,40,1.4055036007245372,42,1.4055036007245372
Albania,2020,18337,11,2020-03-16,2845955,47,1.6514667308513311,89,1.6514667308513311
Albania,2020,18344,12,2020-03-23,2845955,123,4.321923572227951,212,4.321923572227951
Albania,2020,18351,13,2020-03-30,2845955,149,5.2355009126989005,361,5.2355009126989005
Albania,2020,18358,14,2020-04-06,2845955,85,2.9866951515396414,446,2.9866951515396414
Albania,2020,18365,15,2020-04-13,2845955,116,4.075960442101158,562,4.075960442101158
Albania,2020,18372,16,2020-04-20,2845955,164,5.7625647629706025,726,5.7625647629706025
Albania,2020,18379,17,2020-04-27,2845955,69,2.4244937112498266,795,2.4244937112498266
Albania,2020,18386,18,2020-05-04,2845955,73,2.5650440713222804,868,2.5650440713222804
Albania,2020,18393,19,2020-05-11,2845955,78,2.7407320214128474,946,2.7407320214128474
Albania,2020,18400,20,2020-05-18,2845955,52,1.8271546809418981,998,1.8271546809418981
Albania,2020,18407,21,2020-05-25,2845955,139,4.884125012517766,1137,4.884125012517766
Albania,2020,18414,22,2020-06-01,2845955,109,3.8299973119743638,1246,3.8299973119743638
Albania,2020,18421,23,2020-06-08,2845955,275,9.662837254981193,1521,9.662837254981193
Albania,2020,18428,24,2020-06-15,2845955,406,14.265861547354051,1927,14.265861547354051
Albania,2020,18435,25,2020-06-22,2845955,475,16.690355258603876,2402,16.690355258603876
Albania,2020,18442,26,2020-06-29,2845955,491,17.25255669889369,2893,17.25255669889369
Albania,2020,18449,27,2020-07-06,2845955,561,19.712188000161632,3454,19.712188000161632
Albania,2020,18456,28,2020-07-13,2845955,636,22.34750725152014,4090,22.34750725152014
Albania,2020,18463,29,2020-07-20,2845955,673,23.64759808219034,4763,23.64759808219034
Albania,2020,18470,30,2020-07-27,2845955,756,26.56401805369375,5519,26.56401805369375
Albania,2020,18477,31,2020-08-03,2845955,892,31.34273029615718,6411,31.34273029615718
Albania,2020,18484,32,2020-08-10,2845955,969,34.048324727551915,7380,34.048324727551915
Albania,2020,18491,33,2020-08-17,2845955,1047,36.78905674896476,8427,36.78905674896476
Albania,2020,18498,34,2020-08-24,2845955,953,33.486123287262096,9380,33.486123287262096
Albania,2020,18505,35,2020-08-31,2845955,875,30.74539126584925,10255,30.74539126584925
Albania,2020,18512,36,2020-09-07,2845955,1098,38.581073839888546,11353,38.581073839888546
Albania,2020,18519,37,2020-09-14,2845955,1032,36.26199289869306,12385,36.26199289869306
Albania,2020,18526,38,2020-09-21,2845955,874,30.710253675831137,13259,30.710253675831137
Albania,2020,18533,39,2020-09-28,2845955,1007,35.383553148240225,14266,35.383553148240225
Albania,2020,18540,40,2020-10-05,2845955,1133,39.81088949052251,15399,39.81088949052251
Albania,2020,18547,41,2020-10-12,2845955,1656,58.187849069995835,17055,58.187849069995835
Albania,2020,18554,42,2020-10-19,2845955,2102,73.85921421807443,19157,73.85921421807443
Albania,2020,18561,43,2020-10-26,2845955,2045,71.85637158704196,21202,71.85637158704196
Albania,2020,18568,44,2020-11-02,2845955,3004,105.55332041441274,24206,105.55332041441274
Albania,2020,18575,45,2020-11-09,2845955,3624,127.33862622564307,27830,127.33862622564307
Albania,2020,18582,46,2020-11-16,2845955,4931,173.26345637931732,32761,173.26345637931732
Albania,2020,18589,47,2020-11-23,2845955,4864,170.90923784810371,37625,170.90923784810371
Albania,2020,18596,48,2020-11-30,2845955,5363,188.44289526714232,42988,188.44289526714232
Albania,2020,18603,49,2020-12-07,2845955,5542,194.7325238803846,48530,194.7325238803846
