id,class,age,status,gender
1,3,22,Survived,Man
2,1,38,Died,Woman
3,3,26,Died,Woman
4,1,35,Died,Woman
5,3,35,Survived,Man
7,1,54,Survived,Man
8,3,2,Survived,Man
9,3,27,Died,Woman
10,2,14,Died,Woman
11,3,4,Died,Woman
12,1,58,Died,Woman
13,3,20,Survived,Man
14,3,39,Survived,Man
15,3,14,Survived,Woman
16,2,55,Died,Woman
17,3,2,Survived,Man
19,3,31,Survived,Woman
21,2,35,Survived,Man
22,2,34,Died,Man
23,3,15,Died,Woman
24,1,28,Died,Man
25,3,8,Survived,Woman
26,3,38,Died,Woman
28,1,19,Survived,Man
31,1,40,Survived,Man
34,2,66,Survived,Man
35,1,28,Survived,Man
36,1,42,Survived,Man
38,3,21,Survived,Man
39,3,18,Survived,Woman
40,3,14,Died,Woman
41,3,40,Survived,Woman
42,2,27,Survived,Woman
44,2,3,Died,Woman
45,3,19,Died,Woman
50,3,18,Survived,Woman
51,3,7,Survived,Man
52,3,21,Survived,Man
53,1,49,Died,Woman
54,2,29,Died,Woman
55,1,65,Survived,Man
57,2,21,Died,Woman
58,3,28.5,Survived,Man
59,2,5,Died,Woman
60,3,11,Survived,Man
61,3,22,Survived,Man
62,1,38,Died,Woman
63,1,45,Survived,Man
64,3,4,Survived,Man
67,2,29,Died,Woman
68,3,19,Survived,Man
69,3,17,Died,Woman
70,3,26,Survived,Man
71,2,32,Survived,Man
72,3,16,Survived,Woman
73,2,21,Survived,Man
74,3,26,Survived,Man
75,3,32,Died,Man
76,3,25,Survived,Man
79,2,0.83,Died,Man
80,3,30,Died,Woman
81,3,22,Survived,Man
82,3,29,Died,Man
84,1,28,Survived,Man
85,2,17,Died,Woman
86,3,33,Died,Woman
87,3,16,Survived,Man
89,1,23,Died,Woman
90,3,24,Survived,Man
91,3,29,Survived,Man
92,3,20,Survived,Man
93,1,46,Survived,Man
94,3,26,Survived,Man
95,3,59,Survived,Man
97,1,71,Survived,Man
98,1,23,Died,Man
99,2,34,Died,Woman
100,2,34,Survived,Man
101,3,28,Survived,Woman
103,1,21,Survived,Man
104,3,33,Survived,Man
105,3,37,Survived,Man
106,3,28,Survived,Man
107,3,21,Died,Woman
109,3,38,Survived,Man
111,1,47,Survived,Man
112,3,14.5,Survived,Woman
113,3,22,Survived,Man
114,3,20,Survived,Woman
115,3,17,Survived,Woman
116,3,21,Survived,Man
117,3,70.5,Survived,Man
118,2,29,Survived,Man
119,1,24,Survived,Man
120,3,2,Survived,Woman
121,2,21,Survived,Man
123,2,32.5,Survived,Man
124,2,32.5,Died,Woman
125,1,54,Survived,Man
126,3,12,Died,Man
128,3,24,Died,Man
130,3,45,Survived,Man
131,3,33,Survived,Man
132,3,20,Survived,Man
133,3,47,Survived,Woman
134,2,29,Died,Woman
135,2,25,Survived,Man
136,2,23,Survived,Man
137,1,19,Died,Woman
138,1,37,Survived,Man
139,3,16,Survived,Man
140,1,24,Survived,Man
142,3,22,Died,Woman
143,3,24,Died,Woman
144,3,19,Survived,Man
145,2,18,Survived,Man
146,2,19,Survived,Man
147,3,27,Died,Man
148,3,9,Survived,Woman
149,2,36.5,Survived,Man
150,2,42,Survived,Man
151,2,51,Survived,Man
152,1,22,Died,Woman
153,3,55.5,Survived,Man
154,3,40.5,Survived,Man
156,1,51,Survived,Man
157,3,16,Died,Woman
158,3,30,Survived,Man
161,3,44,Survived,Man
162,2,40,Died,Woman
163,3,26,Survived,Man
164,3,17,Survived,Man
165,3,1,Survived,Man
166,3,9,Died,Man
168,3,45,Survived,Woman
170,3,28,Survived,Man
171,1,61,Survived,Man
172,3,4,Survived,Man
173,3,1,Died,Woman
174,3,21,Survived,Man
175,1,56,Survived,Man
176,3,18,Survived,Man
178,1,50,Survived,Woman
179,2,30,Survived,Man
180,3,36,Survived,Man
183,3,9,Survived,Man
184,2,1,Died,Man
185,3,4,Died,Woman
188,1,45,Died,Man
189,3,40,Survived,Man
190,3,36,Survived,Man
191,2,32,Died,Woman
192,2,19,Survived,Man
193,3,19,Died,Woman
194,2,3,Died,Man
195,1,44,Died,Woman
196,1,58,Died,Woman
198,3,42,Survived,Man
200,2,24,Survived,Woman
201,3,28,Survived,Man
203,3,34,Survived,Man
204,3,45.5,Survived,Man
205,3,18,Died,Man
206,3,2,Survived,Woman
207,3,32,Survived,Man
208,3,26,Died,Man
209,3,16,Died,Woman
210,1,40,Died,Man
211,3,24,Survived,Man
212,2,35,Died,Woman
213,3,22,Survived,Man
214,2,30,Survived,Man
216,1,31,Died,Woman
217,3,27,Died,Woman
218,2,42,Survived,Man
219,1,32,Died,Woman
220,2,30,Survived,Man
221,3,16,Died,Man
222,2,27,Survived,Man
223,3,51,Survived,Man
225,1,38,Died,Man
226,3,22,Survived,Man
227,2,19,Died,Man
228,3,20.5,Survived,Man
229,2,18,Survived,Man
231,1,35,Died,Woman
232,3,29,Survived,Man
233,2,59,Survived,Man
234,3,5,Died,Woman
235,2,24,Survived,Man
237,2,44,Survived,Man
238,2,8,Died,Woman
239,2,19,Survived,Man
240,2,33,Survived,Man
243,2,29,Survived,Man
244,3,22,Survived,Man
245,3,30,Survived,Man
246,1,44,Survived,Man
247,3,25,Survived,Woman
248,2,24,Died,Woman
249,1,37,Died,Man
250,2,54,Survived,Man
252,3,29,Survived,Woman
253,1,62,Survived,Man
254,3,30,Survived,Man
255,3,41,Survived,Woman
256,3,29,Died,Woman
258,1,30,Died,Woman
259,1,35,Died,Woman
260,2,50,Died,Woman
262,3,3,Died,Man
263,1,52,Survived,Man
264,1,40,Survived,Man
266,2,36,Survived,Man
267,3,16,Survived,Man
268,3,25,Died,Man
269,1,58,Died,Woman
270,1,35,Died,Woman
272,3,25,Died,Man
273,2,41,Died,Woman
274,1,37,Survived,Man
276,1,63,Died,Woman
277,3,45,Survived,Woman
279,3,7,Survived,Man
280,3,35,Died,Woman
281,3,65,Survived,Man
282,3,28,Survived,Man
283,3,16,Survived,Man
284,3,19,Died,Man
286,3,33,Survived,Man
287,3,30,Died,Man
288,3,22,Survived,Man
289,2,42,Died,Man
290,3,22,Died,Woman
291,1,26,Died,Woman
292,1,19,Died,Woman
293,2,36,Survived,Man
294,3,24,Survived,Woman
295,3,24,Survived,Man
297,3,23.5,Survived,Man
298,1,2,Survived,Woman
300,1,50,Died,Woman
303,3,19,Survived,Man
306,1,0.92,Died,Man
308,1,17,Died,Woman
